provider_org_code,treatment_function_code,period,period_month,waiting_list_size,baseline_wl,rtt_growth,rtt_over18_share,rtt_over52_share,dm01_breach,ae_pressure,ae_pressure_imputed,kh03_occupancy,pressure_index_raw,pressure_index_0_100
RWW,C_110,RTT-March-2026,2026-03-01,3334.0,1660.3333333333333,1.0080305159606504,0.5186,0.03239352129574085,0.0286,0.34040000000000004,False,0.9391,1.00706887450679,77.98148317902648
RWW,C_130,RTT-March-2026,2026-03-01,1943.0,2444.6666666666665,-0.20520861739841822,0.1004,0.0,0.0286,0.34040000000000004,False,0.9391,-0.4315703439229043,36.254468787239894
RWW,C_100,RTT-March-2026,2026-03-01,683.0,399.0,0.7117794486215538,0.2079,0.0,0.0286,0.34040000000000004,False,0.9391,-0.08372059081746486,46.09955082959025
RWW,C_340,RTT-March-2026,2026-03-01,1173.0,617.0,0.9011345218800648,0.2302,0.0017050298380221654,0.0286,0.34040000000000004,False,0.9391,0.0038324680816795853,48.418736822806856
RWW,C_410,RTT-March-2026,2026-03-01,1208.0,399.6666666666667,2.0225187656380315,0.4611,0.0033112582781456954,0.0286,0.34040000000000004,False,0.9391,0.690424495695647,69.20891007425062
RWW,C_502,RTT-March-2026,2026-03-01,3393.0,1880.3333333333333,0.8044672930331502,0.3118,0.0050103153551429415,0.0286,0.34040000000000004,False,0.9391,0.22765039885874574,54.670455587129894
RWW,X04,RTT-March-2026,2026-03-01,1825.0,1040.0,0.7548076923076923,0.2197,0.002191780821917808,0.0286,0.34040000000000004,False,0.9391,-0.03075443354085816,47.52039600330002
RBL,C_140,RTT-MAY-2019,2019-05-01,1517.0,1489.6666666666667,0.0183486238532109,0.2887,0.0,0.0068,0.18889999999999996,False,0.9127,-0.7986431199340933,26.345219543496196
RBN,C_110,RTT-MAY-2019,2019-05-01,1598.0,1600.0,-0.0012499999999999734,0.1984,0.0,0.0052,0.2832,False,0.9619,-0.30928004457891095,39.866165551379595
RBN,C_101,RTT-MAY-2019,2019-05-01,1604.0,1662.3333333333333,-0.03509123721676355,0.0761,0.0,0.0052,0.2832,False,0.9619,-0.615612340169585,31.06609221743514
RBN,C_330,RTT-MAY-2019,2019-05-01,2379.0,2372.3333333333335,0.002810172825628676,0.034,0.0,0.0052,0.2832,False,0.9619,-0.7166738025529569,28.306902557521312
RBN,C_120,RTT-MAY-2019,2019-05-01,1354.0,1380.0,-0.018840579710144967,0.0524,0.0,0.0052,0.2832,False,0.9619,-0.6729548966280043,29.41607846732056
RBN,C_320,RTT-MAY-2019,2019-05-01,911.0,917.6666666666666,-0.00726480203414448,0.0648,0.0,0.0052,0.2832,False,0.9619,-0.6411744443160736,30.286919057658814
RBT,C_320,RTT-MAY-2019,2019-05-01,711.0,723.3333333333334,-0.017050691244239635,0.1336,0.0,0.0935,0.21719999999999995,False,0.8802,-1.3005964610657987,15.015125126042717
RBT,C_340,RTT-MAY-2019,2019-05-01,282.0,290.3333333333333,-0.028702640642939037,0.1667,0.0,0.0935,0.21719999999999995,False,0.8802,-1.2195322051027346,16.610138417820146
RBT,C_330,RTT-MAY-2019,2019-05-01,1467.0,1452.6666666666667,0.009866911427260261,0.0702,0.0,0.0935,0.21719999999999995,False,0.8802,-1.4554601823797662,12.686772389769915
REM,C_100,RTT-MAY-2019,2019-05-01,2483.0,2557.3333333333335,-0.02906673618352451,0.1647,0.0,0.0021,0.2922,False,0.9451,-0.4348652464832004,36.18113484279036
REM,C_120,RTT-MAY-2019,2019-05-01,1745.0,1776.3333333333333,-0.017639331957215232,0.0613,0.0,0.0021,0.2922,False,0.9451,-0.6903110906012957,29.06774223118526
REM,C_101,RTT-MAY-2019,2019-05-01,1140.0,1142.3333333333333,-0.0020426028596439716,0.0711,0.0,0.0021,0.2922,False,0.9451,-0.66462313503782,29.626913557612983
REM,C_110,RTT-MAY-2019,2019-05-01,1437.0,1452.6666666666667,-0.01078476365305192,0.0884,0.0,0.0021,0.2922,False,0.9451,-0.622489120913833,30.85525712714273
REM,C_340,RTT-MAY-2019,2019-05-01,1585.0,1565.6666666666667,0.012348307430274597,0.1438,0.0,0.0021,0.2922,False,0.9451,-0.4830341495904256,34.76945641213677
REM,X01,RTT-MAY-2019,2019-05-01,2911.0,2831.0,0.02825856587778164,0.0089,0.0,0.0021,0.2922,False,0.9451,-0.8162108531351753,25.941882849023738
REM,C_320,RTT-MAY-2019,2019-05-01,1016.0,835.0,0.21676646706586822,0.0,0.0,0.0021,0.2922,False,0.9451,-0.8215879097336907,25.831881932349436
REM,C_430,RTT-MAY-2019,2019-05-01,166.0,183.0,-0.09289617486338797,0.0,0.0,0.0021,0.2922,False,0.9451,-0.8490164371675948,25.061875515629296
REM,C_140,RTT-MAY-2019,2019-05-01,1529.0,1612.0,-0.05148883374689828,0.1014,0.0,0.0021,0.2922,False,0.9451,-0.5938512318912685,31.753597946649553
REP,X01,RTT-MAY-2019,2019-05-01,353.0,351.6666666666667,0.0037914691943128354,0.017,0.0,0.0276,0.015100000000000002,False,0.5467,-4.226685830987121,0.29333577779814834
RET,C_400,RTT-MAY-2019,2019-05-01,7342.0,7202.333333333333,0.019391863747859617,0.0749,0.0,0.0008,0.1860111111111111,True,0.7824,-2.0078935941279306,6.425886882390687
RET,X01,RTT-MAY-2019,2019-05-01,2538.0,2464.3333333333335,0.02989314216150407,0.1355,0.0,0.0008,0.1860111111111111,True,0.7824,-1.8566601811546213,7.718397653313777
RJN,X01,RTT-MAY-2019,2019-05-01,733.0,726.0,0.009641873278236845,0.0123,0.0,0.0729,0.2744,False,0.9158,-1.1164836960605993,18.837656980474836
RJN,C_140,RTT-MAY-2019,2019-05-01,52.0,55.333333333333336,-0.06024096385542177,0.8846,0.019230769230769232,0.0729,0.2744,False,0.9158,1.2153475391248372,82.84902374186451
RJN,C_300,RTT-MAY-2019,2019-05-01,1.0,3.0,-0.6666666666666667,0.0,0.0,0.0729,0.2744,False,0.9158,-1.2068951687682417,16.903474195618294
RJR,C_110,RTT-MAY-2019,2019-05-01,1460.0,1417.0,0.03034580098800288,0.1938,0.0,0.0643,0.12549999999999994,False,0.9697,-1.1052090084020243,19.039325327711065
RJR,C_160,RTT-MAY-2019,2019-05-01,1039.0,1036.3333333333333,0.002573174654229682,0.1915,0.0,0.0643,0.12549999999999994,False,0.9697,-1.1133735620883023,18.92015766798057
RJR,C_502,RTT-MAY-2019,2019-05-01,2055.0,2088.0,-0.015804597701149392,0.1255,0.0,0.0643,0.12549999999999994,False,0.9697,-1.278697999076015,15.400128334402789
RJR,C_300,RTT-MAY-2019,2019-05-01,614.0,581.3333333333334,0.05619266055045857,0.0179,0.0,0.0643,0.12549999999999994,False,0.9697,-1.5391958946934987,11.449262077183976
RWW,C_101,RTT-MAY-2019,2019-05-01,1638.0,1605.6666666666667,0.020137014739464387,0.08,0.0,0.0027,0.19110000000000005,False,0.8614,-1.5654770788835757,11.009258410486753
RWW,C_300,RTT-MAY-2019,2019-05-01,108.0,112.66666666666667,-0.041420118343195256,0.0185,0.0,0.0027,0.19110000000000005,False,0.8614,-1.723465016973929,9.120909340911174
RBL,C_340,RTT-MAY-2020,2020-05-01,1358.0,924.6666666666666,0.4686373467916367,0.5427,0.0,0.5348,0.06340000000000001,False,0.5201,-3.279630814358443,2.108350902924191
RBL,C_120,RTT-MAY-2020,2020-05-01,1325.0,1254.6666666666667,0.05605738575982988,0.3245,0.005283018867924529,0.5348,0.06340000000000001,False,0.5201,-3.8094287961276034,0.8891740764506371
RBL,C_130,RTT-MAY-2020,2020-05-01,1763.0,2369.3333333333335,-0.255908835115363,0.4492,0.01020986954055587,0.5348,0.06340000000000001,False,0.5201,-3.483068359097005,1.6408470070583923
RBL,C_320,RTT-MAY-2020,2020-05-01,662.0,805.0,-0.177639751552795,0.4048,0.0,0.5348,0.06340000000000001,False,0.5201,-3.6789018581682695,1.1733431111925934
RBL,C_410,RTT-MAY-2020,2020-05-01,490.0,674.0,-0.27299703264094954,0.4469,0.0020408163265306124,0.5348,0.06340000000000001,False,0.5201,-3.564411473790446,1.420845173709781
RBL,C_430,RTT-MAY-2020,2020-05-01,54.0,106.0,-0.49056603773584906,0.0556,0.0,0.5348,0.06340000000000001,False,0.5201,-4.57272338026735,0.10083417361811348
RBN,C_160,RTT-MAY-2020,2020-05-01,3080.0,2049.0,0.5031722791605662,0.4032,0.002922077922077922,0.5125,0.08899999999999997,False,0.7663,-2.1817321191889594,5.4725456045467045
RBN,C_301,RTT-MAY-2020,2020-05-01,1445.0,1773.3333333333333,-0.18515037593984962,0.1239,0.0,0.5125,0.08899999999999997,False,0.7663,-2.961949528883733,2.795856632138601
RBN,C_140,RTT-MAY-2020,2020-05-01,494.0,364.3333333333333,0.3559011893870083,0.1761,0.0,0.5125,0.08899999999999997,False,0.7663,-2.7845564667688008,3.2908607571729767
RBS,X01,RTT-MAY-2020,2020-05-01,10873.0,12861.0,-0.154575849467382,0.4188,0.004782488733560195,0.3297,0.01859999999999995,False,0.497,-3.7354246930997625,1.0633421945182877
RBT,C_430,RTT-MAY-2020,2020-05-01,29.0,51.0,-0.43137254901960786,0.1724,0.0,0.6034,0.04090000000000005,False,0.6587,-3.741200381355701,1.0358419653497113
RBT,X01,RTT-MAY-2020,2020-05-01,1798.0,2493.3333333333335,-0.27887700534759363,0.2553,0.0,0.6034,0.04090000000000005,False,0.6587,-3.5220801391440686,1.4941791181593178
RBT,C_120,RTT-MAY-2020,2020-05-01,1524.0,1515.0,0.005940594059405946,0.2559,0.0006561679790026247,0.6034,0.04090000000000005,False,0.6587,-3.4894101390700234,1.622513520946008
RBT,C_130,RTT-MAY-2020,2020-05-01,1768.0,1747.0,0.01202060675443617,0.2681,0.0,0.6034,0.04090000000000005,False,0.6587,-3.4645665112890676,1.6775139792831608
RBT,C_502,RTT-MAY-2020,2020-05-01,917.0,1098.3333333333333,-0.16509863429438543,0.3217,0.0010905125408942203,0.6034,0.04090000000000005,False,0.6587,-3.337418273710419,1.961683014025117
RBT,C_301,RTT-MAY-2020,2020-05-01,452.0,696.0,-0.3505747126436781,0.2058,0.0,0.6034,0.04090000000000005,False,0.6587,-3.65120326264163,1.2191768264735539
REP,C_502,RTT-MAY-2020,2020-05-01,6327.0,5701.666666666667,0.10967553346974568,0.3751,0.000790263948158685,0.5301,0.0016000000000000458,False,0.4117,-4.5750256788883465,0.09166743056192135
RJN,C_110,RTT-MAY-2020,2020-05-01,1320.0,1255.3333333333333,0.05151354221986204,0.5705,0.026515151515151516,0.5728,0.10199999999999998,False,0.6085,-2.4007529990510537,4.675038958657988
RJN,C_340,RTT-MAY-2020,2020-05-01,180.0,215.66666666666666,-0.1653786707882534,0.1778,0.0,0.5728,0.10199999999999998,False,0.6085,-3.634554285231654,1.2558437986983224
RJR,C_301,RTT-MAY-2020,2020-05-01,1196.0,1057.0,0.13150425733207194,0.301,0.0,0.6661,0.025800000000000045,False,0.7792,-2.8870921116477115,2.997524979374828
RWW,C_110,RTT-MAY-2020,2020-05-01,1742.0,1660.3333333333333,0.04918691025898414,0.4592,0.001722158438576349,0.5675,0.06620000000000004,False,0.6633,-2.7893617232769676,3.2633605280044
RWW,X01,RTT-MAY-2020,2020-05-01,5195.0,6216.0,-0.16425353925353925,0.2219,0.0007699711260827719,0.5675,0.06620000000000004,False,0.6633,-3.4054710894267695,1.842515354294619
RWW,C_130,RTT-MAY-2020,2020-05-01,1839.0,2444.6666666666665,-0.24775020452686114,0.348,0.0,0.5675,0.06620000000000004,False,0.6633,-3.107093721185551,2.4658538821156846
