provider_org_code,period_month,pressure_index_0_100,rtt_growth,rtt_over18_share,rtt_over52_share,dm01_breach,ae_pressure,kh03_occupancy
RET,2021-04-01,8.943074525621046,0.007763490213663871,0.15854,0.015954912217317038,0.006500000000000001,0.18597777777777777,0.7345
RET,2021-05-01,9.542579521496013,-0.014422884147575022,0.14632,0.012185381691256294,0.0037000000000000006,0.22124444444444444,0.7345
RET,2021-06-01,9.076908974241451,-0.06142203111396303,0.1282,0.009889946151233947,0.0058,0.2299666666666666,0.7345
RET,2021-07-01,14.939957832981941,-0.06649315825701141,0.15150000000000002,0.008625212763571838,0.0039,0.2987222222222222,0.7499
RET,2021-08-01,12.943441195343294,-0.018664354537904472,0.12982,0.007192451040487514,0.0,0.2820666666666667,0.7499
RET,2021-09-01,15.055458795489963,0.010506598412955337,0.13414,0.005962750716332378,0.0,0.30892222222222226,0.7499
RET,2021-10-01,18.62682189018242,-0.028966495190462238,0.16976,0.005734679205501268,0.0,0.31198888888888887,0.7716
RET,2021-11-01,17.031808598404986,-0.04529121026981329,0.13864,0.0049052001427636145,0.0024,0.31198888888888887,0.7716
RET,2021-12-01,31.92929385522657,-0.03234364079540588,0.24026666666666666,0.050030570876800406,0.0024,0.31304444444444446,0.7716
RET,2022-01-01,53.442112017600145,0.01532124259005239,0.22506666666666666,0.036271915788739756,0.0044,0.2952222222222222,1.0
RET,2022-02-01,53.56433525834938,0.09545716764560952,0.19335,0.028334917013859262,0.0031,0.31445555555555554,1.0
RET,2022-03-01,60.69758914657623,0.35399481586344095,0.21943333333333334,0.020721443426757438,0.0043,0.34464444444444436,1.0
RET,2022-04-01,39.82338741711737,0.8551326071990458,0.28709999999999997,0.013541365231365335,0.0008,0.33465555555555565,0.8342
RET,2022-05-01,35.50737922816024,0.825635787619612,0.2212333333333333,0.01573668564161269,0.0024,0.32668888888888886,0.8342
RET,2022-06-01,35.02918079872887,0.673193260541968,0.24666666666666667,0.011186495442976311,0.0069,0.3193444444444445,0.8342
RET,2022-07-01,35.71363094692456,0.43653870256523425,0.24603333333333333,0.018901480805356804,0.0031,0.33765555555555554,0.8127
RET,2022-08-01,32.740550615699576,0.3288523366888543,0.24639999999999998,0.020986440647642754,0.0008,0.30885555555555555,0.8127
RET,2022-09-01,36.500443059247715,0.30436369117134904,0.26485,0.02269053114883775,0.0007,0.3255444444444444,0.8127
RET,2022-10-01,47.53139609496746,0.5268210131367491,0.32848,0.025885871550978566,0.0025,0.34904444444444443,0.8342
RET,2022-11-01,39.84324869373912,0.27682856692544033,0.25,0.014516606525710898,0.0031,0.3572666666666666,0.8342
RET,2022-12-01,45.0652366547499,0.21339842879093152,0.22375,0.013823311750159141,0.005,0.4117555555555555,0.8342
RET,2023-01-01,36.37669202798912,0.20913072011527112,0.18875,0.012178676099486386,0.0062,0.3276222222222222,0.8731
RET,2023-02-01,35.935160570782536,0.1991366873206651,0.18745,0.008075001545033092,0.006599999999999999,0.33303333333333335,0.8731
